jenis_kelamin,tgl_lahir,no_telp,alamat
L,20/1/1994,351-(759)690-3360,7 4th Alley
L,9/7/1963,62-(948)926-9140,8 Westridge Drive
L,10/6/1948,63-(560)753-6527,825 Trailsway Place
L,5/7/2001,62-(838)592-8828,69580 Florence Parkway
L,2/2/1949,86-(973)475-9261,84680 Hansons Avenue
P,22/8/1972,86-(568)681-5002,54182 Bartillon Center
L,9/9/1929,86-(305)164-9595,11 Sunbrook Place
L,8/6/1924,375-(215)367-1268,94609 Westerfield Road
L,14/9/1975,63-(419)453-8652,8 Brown Street
P,17/12/1964,82-(192)897-6382,0518 Calypso Parkway
P,20/11/1956,1-(690)837-9301,6 Merchant Drive
P,26/4/1947,86-(305)328-2316,1423 Holy Cross Park
P,21/4/1975,86-(487)727-7068,3709 Ridge Oak Court
P,11/10/1943,93-(396)137-0923,86276 Clemons Park
L,19/10/1968,389-(928)712-0839,717 Longview Circle
P,12/3/1956,387-(943)957-9127,24589 Kedzie Court
P,3/11/1933,86-(755)994-0483,0726 Sheridan Trail
L,6/2/1948,55-(608)466-3297,1010 Dawn Terrace
L,2/12/2000,86-(524)466-0954,11 Golf Course Way
L,6/2/1942,81-(620)842-6069,831 Bayside Pass
P,27/12/1975,86-(602)625-2130,13595 Daystar Drive
P,9/4/1956,1-(718)937-1434,80 Commercial Street
P,28/12/1984,86-(276)655-5297,9708 Barby Way
P,31/7/1983,63-(754)112-4108,91702 Kennedy Court
L,10/9/1945,62-(363)862-2962,3634 Pond Lane
L,25/1/1983,66-(897)784-8453,95 Manley Court
P,9/5/1978,420-(842)322-3625,7 Hooker Place
P,21/3/1959,62-(754)391-3076,2 Old Gate Place
P,28/5/1920,86-(555)911-6887,998 Linden Terrace
P,15/7/1966,84-(299)756-4500,6 Miller Road
L,29/10/1938,1-(453)672-9671,9691 Glacier Hill Parkway
P,18/11/1989,961-(354)478-9047,59 Havey Drive
P,26/8/1968,86-(902)235-3691,552 Northport Terrace
L,6/11/1922,86-(225)164-8648,1 Fairview Pass
P,24/12/1928,33-(986)958-1519,330 Jay Alley
L,29/6/1996,358-(616)112-3819,524 Mendota Street
L,14/1/1963,381-(903)255-5905,9077 West Place
P,22/7/1939,237-(526)887-7555,68130 Southridge Pass
P,2/5/1923,39-(384)831-5708,8 Emmet Pass
P,19/4/1977,48-(329)331-2018,32405 Lotheville Road
L,7/8/1946,86-(152)904-1170,26 Erie Crossing
L,8/3/1993,967-(435)794-2132,1 Ruskin Lane
P,30/9/1983,380-(721)309-3330,21330 Coolidge Point
P,12/8/1995,7-(703)224-1665,2 Lakewood Gardens Trail
P,21/1/1950,48-(541)715-8986,0 Lakewood Gardens Plaza
L,24/12/1937,374-(415)603-0285,97 Thackeray Lane
P,17/6/1949,86-(380)670-4290,85 Pleasure Trail
P,1/7/1963,7-(772)641-3804,26 Muir Park
L,19/1/1936,62-(282)559-3862,8 Karstens Drive
L,28/6/1996,1-(802)172-7362,44402 Twin Pines Terrace
L,14/9/1946,970-(930)698-2795,2913 Myrtle Lane
L,14/3/1937,359-(173)206-5118,29443 Myrtle Circle
L,2/12/1951,86-(240)188-9810,327 Memorial Trail
P,22/1/1942,506-(487)582-3323,56 Southridge Pass
P,19/2/1986,48-(899)943-7162,4334 Banding Pass
P,31/7/1927,93-(889)854-3864,34070 Hoard Terrace
P,3/7/1938,351-(942)711-2053,6 Pleasure Street
L,26/9/1981,62-(499)381-6319,73304 Clyde Gallagher Lane
L,3/7/1950,57-(935)518-1951,285 Manufacturers Terrace
L,23/8/1996,62-(773)438-1306,9483 Kennedy Circle
L,24/7/1983,7-(675)392-7006,78 Kedzie Terrace
L,1/9/1952,1-(269)828-7851,7 Bayside Road
L,10/11/1947,963-(237)615-3600,81326 Crest Line Road
L,16/2/1990,33-(783)935-8742,6 5th Avenue
L,18/1/1963,60-(275)747-7812,7301 Oak Valley Lane
L,27/12/1957,372-(548)329-0879,9 Derek Road
L,25/8/1965,357-(987)802-0518,32852 Goodland Park
P,26/10/1927,351-(634)204-0587,73 Susan Alley
P,5/5/1946,351-(908)763-8898,287 Magdeline Parkway
P,25/2/1950,63-(943)420-5456,55379 Manufacturers Trail
L,13/9/1986,86-(292)927-9970,96 Parkside Crossing
P,24/5/1921,351-(896)916-5434,038 Pond Parkway
L,22/6/1923,48-(667)413-7889,54 Spohn Park
L,26/11/1927,212-(788)288-2204,24 Reinke Park
L,19/1/1927,63-(860)707-8484,8738 Corben Drive
P,1/9/1973,62-(900)412-0186,9742 Fairfield Parkway
P,27/7/1944,63-(996)191-6460,2275 Pawling Place
P,28/1/1946,387-(831)581-8621,29272 Park Meadow Parkway
P,13/5/1960,86-(704)944-6285,33962 Arkansas Point
L,31/5/1924,7-(817)258-7856,42265 Bunker Hill Point
P,4/8/1943,55-(501)962-2227,08 Erie Place
P,24/4/1993,251-(314)606-8761,03070 2nd Park
P,27/12/1984,62-(552)240-6216,74778 Oak Trail
P,22/3/1976,86-(391)160-2434,051 Merrick Drive
L,11/6/1987,48-(900)563-2085,9823 Arkansas Way
P,4/8/1963,86-(342)255-3548,6 Cascade Avenue
P,7/12/1944,86-(655)636-2752,3060 Canary Pass
L,27/7/1986,86-(297)123-8103,65382 Parkside Terrace
P,22/4/1922,46-(556)185-5308,527 Hallows Way
P,27/5/1978,1-(515)262-0668,95100 Corry Trail
L,11/7/1963,502-(488)352-7003,2849 Eastwood Center
L,9/10/1926,63-(828)732-5820,143 Prairie Rose Road
P,1/8/1972,66-(796)186-5429,50141 Lakewood Gardens Trail
P,21/7/1945,86-(802)919-1486,393 Mosinee Hill
L,15/11/1932,39-(109)565-2487,56 Emmet Center
L,27/8/1965,63-(261)273-5384,60 Lakeland Place
P,15/5/1934,63-(284)170-8124,5194 Graceland Circle
P,2/4/1951,233-(641)153-2351,29006 Bayside Crossing
P,8/6/1950,86-(439)156-0094,52997 Charing Cross Park
L,27/4/1952,351-(728)686-9872,4821 Norway Maple Avenue
P,20/1/1952,381-(903)835-9154,3758 Loeprich Hill
P,2/10/1963,994-(510)734-1960,624 Del Sol Crossing
P,27/1/1944,98-(981)235-5750,115 Helena Way
L,27/8/1925,351-(291)682-3220,69 Welch Plaza
L,24/2/1967,1-(785)323-0806,99 Sommers Park
L,4/10/1974,375-(438)704-1816,46591 Pawling Center
P,22/5/1968,66-(394)339-7092,2 Hanover Road
L,24/3/1930,62-(462)549-3791,2649 Badeau Road
P,12/11/1967,55-(967)735-1391,6694 Dakota Street
P,20/11/1979,86-(599)314-9300,45505 Vermont Way
L,10/1/1998,506-(501)848-7044,6411 Garrison Drive
P,11/8/1952,57-(560)289-5950,39 Stephen Way
P,14/8/1932,1-(973)556-8466,1628 Judy Lane
P,18/2/1980,48-(475)597-3414,97022 Sachtjen Terrace
L,1/2/1928,82-(721)599-1558,73939 Dapin Place
L,22/2/1970,63-(880)730-5871,3076 Homewood Point
L,20/1/1963,51-(202)733-8754,88 Monterey Pass
P,19/6/1964,98-(667)849-9108,2440 Northport Center
L,25/12/1921,212-(205)904-7246,9641 Veith Circle
L,2/7/1924,66-(191)996-5586,5191 Sycamore Alley
P,15/5/1959,7-(304)334-0788,1 Sachs Place
L,1/12/1941,66-(783)849-9967,573 Clyde Gallagher Place
L,15/4/1942,57-(266)403-5825,2 Fairfield Lane
P,2/6/1927,381-(645)301-9975,552 Mesta Street
L,14/8/1940,48-(649)857-4131,29971 Colorado Circle
L,2/7/1937,62-(651)488-9241,70884 Lakewood Road
P,20/10/1958,86-(966)219-9132,184 High Crossing Terrace
P,30/11/1924,504-(808)121-7275,76105 Becker Hill
L,11/6/1931,62-(216)492-9448,047 Graedel Road
P,25/1/1937,63-(569)716-6151,52498 Bunting Way
P,21/7/1974,46-(355)121-4647,25 David Plaza
P,18/3/1924,55-(977)163-5394,98 Cardinal Terrace
L,17/9/1935,86-(735)404-8234,6 Buena Vista Street
P,9/5/1962,62-(620)201-9025,57 Pleasure Center
P,16/10/1953,62-(241)310-8357,49 Dorton Court
P,14/11/1950,7-(894)716-2991,63 Brown Center
P,2/9/1956,33-(386)640-9094,85088 Anthes Crossing
L,7/8/1955,212-(917)862-3506,7 Autumn Leaf Road
P,20/6/1987,386-(194)781-8327,96 Reindahl Circle
P,10/3/1960,86-(132)468-4889,6678 Comanche Court
P,12/4/1987,86-(289)709-4916,17831 Merchant Center
P,1/7/1956,62-(256)995-2608,5479 Brentwood Place
P,23/2/1986,63-(358)375-8516,71569 6th Drive
P,12/2/1932,269-(433)280-0650,64 Brentwood Way
P,8/5/1991,48-(264)566-6656,412 Anzinger Park
L,4/5/1926,86-(105)824-4196,48 Old Shore Lane
P,11/6/1960,62-(709)705-3051,64 Redwing Drive
P,10/1/1974,856-(553)634-1984,4 Stuart Avenue
P,26/5/1960,86-(318)213-9954,76 Muir Court
L,12/12/1960,27-(359)949-4047,1 Maple Wood Drive
P,18/4/1989,86-(822)559-9360,2 Delladonna Alley
P,10/4/1940,86-(983)579-4965,735 Carberry Park
P,13/4/1930,62-(957)292-7856,2325 1st Park
L,26/2/1953,57-(509)129-5426,45519 Hovde Junction
P,19/3/1954,967-(272)963-6550,5936 Waywood Road
L,22/11/1946,7-(665)621-6022,4578 Sheridan Road
L,30/7/1929,53-(328)994-0023,10 Continental Park
P,20/8/1993,66-(248)159-0631,52 Springview Drive
L,2/1/1990,62-(876)411-9660,2664 Riverside Center
P,7/2/1968,62-(684)975-5603,15 Russell Alley
P,18/9/1925,84-(978)874-6967,76902 Sloan Junction
P,19/9/1923,504-(109)449-5072,778 Merchant Way
L,1/3/1970,242-(560)457-6491,96911 Ohio Center
L,19/5/1992,7-(780)278-5933,15 Crowley Parkway
P,17/4/1985,27-(957)423-6081,5 Loftsgordon Terrace
P,10/8/1997,62-(590)570-8429,69427 Thackeray Street
P,10/9/1988,62-(652)500-6548,90793 American Ash Crossing
L,20/8/1975,7-(482)908-5608,274 Vernon Parkway
L,1/10/1990,55-(880)245-5221,19286 Holy Cross Circle
P,27/6/1935,55-(672)978-1555,92 Hermina Point
L,13/12/1996,86-(601)822-2260,15843 Shelley Drive
L,14/3/1985,86-(956)101-5018,32 Thompson Lane
L,29/10/1925,7-(166)587-7826,3024 Buell Junction
L,7/2/1949,94-(204)839-3738,89 Westend Circle
P,4/4/1991,86-(896)728-0968,73315 Lakewood Gardens Crossing
P,9/8/1932,51-(374)236-4350,0 Dryden Crossing
L,26/4/1931,86-(931)696-9631,301 Golf Course Point
P,18/1/1995,7-(318)826-4553,9492 Goodland Way
L,29/10/1932,63-(550)581-8018,50041 Manley Way
P,1/4/1968,33-(628)118-0769,32002 6th Lane
P,12/11/1987,62-(968)336-0962,7262 Holmberg Alley
P,15/2/1974,63-(479)488-4705,433 Swallow Circle
L,4/4/1968,7-(529)210-9184,61139 Westport Alley
L,8/9/1983,86-(316)322-4928,5 Quincy Way
L,29/10/1946,63-(523)839-8232,9 Harbort Hill
P,20/6/1992,86-(284)488-2931,2750 Carberry Hill
L,15/6/1933,48-(395)917-8808,5475 Ridgeview Drive
L,30/1/1983,962-(230)158-6492,87 Ruskin Junction
L,17/5/1982,55-(351)844-7689,6095 Pine View Circle
P,28/10/1981,86-(124)666-9572,9 Canary Way
L,19/11/1993,7-(383)237-8803,35 Oriole Terrace
P,8/5/2001,46-(810)672-7224,7649 Onsgard Court
P,13/12/1932,254-(738)744-8698,277 Bartelt Parkway
P,25/4/1984,1-(435)319-6370,232 Maryland Junction
P,5/11/1987,380-(720)152-2344,44 Blaine Center
L,5/2/1967,64-(262)584-2028,8 Mcguire Hill
L,11/10/1958,86-(176)579-1630,899 Starling Terrace
